date,LST_Night_1km_mean
2000-02-01,270.30732263799047
2000-03-01,273.9418657210952
2000-04-01,284.723710372604
2000-05-01,287.9146376222293
2000-06-01,292.94956515390135
2000-07-01,295.6354459558325
2000-08-01,293.8198771289781
2000-09-01,284.1651457642635
2000-10-01,275.359045494299
2000-11-01,268.4410971709084
2000-12-01,269.8656946742523
2001-01-01,264.516020045674
2001-02-01,269.56234607630074
2001-03-01,276.7893220483484
2001-04-01,283.4078489508366
2001-05-01,289.86876620751957
2001-06-01,291.8054484027273
2001-07-01,294.1486577080743
2001-08-01,291.1817002566981
2001-09-01,284.3245863855185
2001-10-01,276.7656122009751
2001-11-01,273.6737254542985
2001-12-01,268.2265855778497
2002-01-01,270.06279370062146
2002-02-01,272.96688549659643
2002-03-01,275.2755280695226
2002-04-01,281.5010466412486
2002-05-01,286.5178894408988
2002-06-01,292.1310544318607
2002-07-01,296.1549713125425
2002-08-01,293.08201086789364
2002-09-01,286.98882573639656
2002-10-01,280.21985907950466
2002-11-01,272.51289365282594
2002-12-01,261.82497153133664
2003-01-01,267.64667906758416
2003-02-01,267.0862284351643
2003-03-01,273.4610636311231
2003-04-01,280.99093944827234
2003-05-01,286.60681179572185
2003-06-01,291.9844431740174
2003-07-01,295.40803530388274
2003-08-01,294.75082684826475
2003-09-01,285.1262424598968
2003-10-01,279.98518735433
2003-11-01,272.79793597442745
2003-12-01,267.89911352856996
2004-01-01,270.13283792890235
2004-02-01,272.11325445100545
2004-03-01,275.294462523921
2004-04-01,281.97544857681345
2004-05-01,289.5688933870592
2004-06-01,293.85761681626553
2004-07-01,294.9911976078559
2004-08-01,292.80915475817926
2004-09-01,286.53189307074075
2004-10-01,276.75080640360494
2004-11-01,274.6715766489485
2004-12-01,267.85947694380576
2005-01-01,266.3194603360478
2005-02-01,267.1092579573126
2005-03-01,276.39675739484596
2005-04-01,283.725933487464
2005-05-01,288.82656777067507
2005-06-01,294.89122253049175
2005-07-01,296.45642205524575
2005-08-01,292.274730847733
2005-09-01,286.9755612728309
2005-10-01,278.19682692819
2005-11-01,272.49625483748275
2005-12-01,269.41580263105845
2006-01-01,258.5144820060837
2006-02-01,271.5369733317008
2006-03-01,277.0783663058406
2006-04-01,282.2195503580838
2006-05-01,289.10672290902374
2006-06-01,294.87006349529196
2006-07-01,294.6611229978363
2006-08-01,293.72958483109466
2006-09-01,285.189337370775
2006-10-01,281.12661314981835
2006-11-01,273.4351857334417
2006-12-01,267.59085013677714
2007-01-01,268.88672383790856
2007-02-01,269.2928650374517
2007-03-01,274.4644639667603
2007-04-01,285.1694330199932
2007-05-01,288.4018948740716
2007-06-01,294.02015462211875
2007-07-01,295.81618331359635
2007-08-01,293.5425113790058
2007-09-01,284.64078003613116
2007-10-01,277.04191809225404
2007-11-01,272.57810998923514
2007-12-01,265.5696972366874
2008-01-01,254.30430893690465
2008-02-01,264.78380296996755
2008-03-01,278.8585701849096
2008-04-01,283.31252208698976
2008-05-01,290.4440952371245
2008-06-01,293.68930968502025
2008-07-01,296.83147467900903
2008-08-01,293.0581064453008
2008-09-01,284.9764272436465
2008-10-01,277.6739121332306
2008-11-01,271.878688926039
2008-12-01,267.5310437092068
2009-01-01,266.48026373713157
2009-02-01,270.76781239126626
2009-03-01,276.5100847882874
2009-04-01,278.40076032537013
2009-05-01,287.77824423494906
2009-06-01,292.70133345316395
2009-07-01,295.28054612526154
2009-08-01,291.4067984489168
2009-09-01,285.9110612169269
2009-10-01,278.0209671244699
2009-11-01,272.1743732276199
2009-12-01,268.3335131466051
2010-01-01,266.46028024110666
2010-02-01,267.49725490515493
2010-03-01,276.1780815411184
2010-04-01,283.03355152625613
2010-05-01,288.2478385114254
2010-06-01,294.8552882013801
2010-07-01,295.3871044660272
2010-08-01,293.91353849294524
2010-09-01,285.286608240352
2010-10-01,279.6532116892135
2010-11-01,274.3698582046457
2010-12-01,267.6747146793149
2011-01-01,263.844154295111
2011-02-01,265.3591716500871
2011-03-01,274.5993225609775
2011-04-01,283.3047650691535
2011-05-01,289.03535231916527
2011-06-01,293.87893180541244
2011-07-01,296.20638404208995
2011-08-01,292.97678782523826
2011-09-01,285.23934757646754
2011-10-01,278.59877154966625
2011-11-01,269.8756295410466
2011-12-01,264.56826538086267
2012-01-01,264.02846610576756
2012-02-01,264.7437390081962
2012-03-01,274.03811853480096
2012-04-01,285.7750098351438
2012-05-01,290.1446179049829
2012-06-01,295.18911967751677
2012-07-01,296.02592812562335
2012-08-01,294.35183669270833
2012-09-01,284.75840682231546
2012-10-01,278.571817075234
2012-11-01,270.22863192691534
2012-12-01,265.5439122578586
2013-01-01,268.08773675497383
2013-02-01,270.1472994641211
2013-03-01,276.8048820098361
2013-04-01,282.5165469351369
2013-05-01,288.1407451715751
2013-06-01,293.4407015264019
2013-07-01,296.03996097432986
2013-08-01,292.27023266010116
2013-09-01,288.0539245442901
2013-10-01,277.7428211801007
2013-11-01,272.8843165555869
2013-12-01,267.26203688123485
2014-01-01,264.86262930978165
2014-02-01,263.47194001115446
2014-03-01,274.7381678662572
2014-04-01,279.91101739892946
2014-05-01,290.2453924314591
2014-06-01,294.514275287512
2014-07-01,293.9132167212378
2014-08-01,294.234871916683
2014-09-01,284.80644713578715
2014-10-01,276.483704981068
2014-11-01,269.82656473785397
2014-12-01,267.3121605904085
2015-01-01,267.7707163964087
2015-02-01,270.3099748465025
2015-03-01,273.96716957098545
2015-04-01,282.91287433982427
2015-05-01,288.7258151399197
2015-06-01,295.62064553866486
2015-07-01,296.9567391623381
2015-08-01,291.35948154191743
2015-09-01,286.14603698981045
2015-10-01,275.8796891252013
2015-11-01,272.39148172872245
2015-12-01,270.02270703854106
2016-01-01,270.3510668947595
2016-02-01,271.8232478484895
2016-03-01,278.0513835668076
2016-04-01,284.4167433254731
2016-05-01,290.1574238889331
2016-06-01,295.16015589729255
2016-07-01,296.33026921403547
2016-08-01,293.99184694575507
2016-09-01,287.2389286005559
2016-10-01,275.3079577973804
2016-11-01,268.944335824326
2016-12-01,268.7959898674021
2017-01-01,267.9282341900483
2017-02-01,268.04356835422215
2017-03-01,274.29198164564775
2017-04-01,282.30239408778516
2017-05-01,289.68431512248276
2017-06-01,294.14792748731116
2017-07-01,297.1375615654548
2017-08-01,293.59310450309545
2017-09-01,284.9370832873691
2017-10-01,280.1617213676792
2017-11-01,273.2096258496944
2017-12-01,266.13471087183814
2018-01-01,264.55464911993425
2018-02-01,267.05125024969306
2018-03-01,276.7423990746199
2018-04-01,280.8985469030677
2018-05-01,287.3673545228746
2018-06-01,293.2894791842413
2018-07-01,297.63240234521857
2018-08-01,291.9441945336962
2018-09-01,286.2913500518905
2018-10-01,277.73912182079266
2018-11-01,268.3523872029858
2018-12-01,267.97436134480165
2019-01-01,269.603695866146
2019-02-01,269.9622134910114
2019-03-01,278.01315705412077
2019-04-01,282.59491789919207
2019-05-01,288.9185874619896
2019-06-01,293.19526818458445
2019-07-01,298.3710428037843
2019-08-01,291.7967676492407
2019-09-01,285.4382134918039
2019-10-01,279.3646149931818
2019-11-01,268.47156698246096
2019-12-01,268.1659811503578
2020-01-01,267.0813451137918
2020-02-01,271.69343640998864
2020-03-01,276.37856160783764
2020-04-01,282.75270890158265
2020-05-01,290.51816136264813
2020-06-01,293.29591541585904
2020-07-01,296.04485654793774
2020-08-01,292.25539970932704
2020-09-01,283.5650407453098
2020-10-01,276.5403408166257
2020-11-01,265.8633384615602
2020-12-01,262.3571421529012
2021-01-01,265.84749796252333
2021-02-01,269.9292034299435
2021-03-01,274.20560900907776
2021-04-01,283.65773879078773
2021-05-01,290.6095833828777
2021-06-01,295.0964612429198
2021-07-01,296.14471072386124
2021-08-01,293.26796111268226
2021-09-01,284.8797130368671
2021-10-01,275.6114153126215
2021-11-01,269.0935737824157
2021-12-01,268.89424254981816
2022-01-01,267.2515215463743
2022-02-01,271.06653353195793
2022-03-01,273.95816164536365
2022-04-01,285.82566496741964
2022-05-01,288.57881233530657
2022-06-01,294.21579013329034
2022-07-01,296.4490045735698
2022-08-01,292.98931987273056
2022-09-01,285.58613121775784
2022-10-01,278.36113722411676
2022-11-01,272.9130476391119
